County,Per capita Income ,Median household Income ,Median family income,lowercase,,County.name,Population,Median Age ,Male ,Female,White,Black,Native,Asian,Islander,Hispanic
King,38211,68065,87010,king,,King ,1931249,37,962090,969159,1325845,119801,16147,282075,14486,172895
San Juan,35487,50726,61096,san juan,,Pierce ,795225,36,392934,402291,590040,53998,10879,47501,10588,82219
Snohomish,30635,66300,77479,snohomish,,Snohomish ,713335,37,356958,356377,559011,18168,9793,63385,3135,59843
Kitsap,29755,59549,71065,kitsap,,Spokane ,471221,37,232696,238525,420275,8056,7295,9957,1902,23736
Thurston,29707,60930,71833,thurston,,Clark ,425363,37,209954,215409,363397,8426,3624,17504,2708,29704
Island,29079,57190,68106,island,,Thurston ,252264,39,122952,129312,207856,6752,3515,13037,1961,19143
Jefferson,28528,46048,59964,jefferson,,Kitsap ,251133,39,127155,123978,207369,6650,4040,12396,2310,18368
Clark,27828,58262,67352,clark,,Yakima ,243231,32,121676,121555,155056,2320,10568,2560,204,72523
Pierce,27446,57869,68462,pierce,,Whatcom ,201140,37,99635,101505,171816,1929,5683,7090,492,14130
Benton,27161,57354,69834,benton,,Benton ,175177,36,87486,87691,144418,2221,1574,4691,253,22020
Skagit,26925,54811,63468,skagit,,Skagit ,116901,40,57980,58921,97448,774,2516,2080,226,13857
Columbia,25810,43611,53452,columbia,,Cowlitz ,102410,40,50542,51868,91069,642,1570,1500,232,7397
Whatcom,25407,49031,64586,whatcom,,Grant ,89120,32,45420,43700,64906,990,1088,810,71,21255
Spokane,25127,47250,59999,spokane,,Island ,78506,43,38857,39649,67611,1716,658,3440,390,4691
Lincoln,24757,45582,52083,lincoln,,Franklin ,78163,28,40447,37716,47270,1473,531,1434,107,27348
Clallam,24449,44398,54837,clallam,,Lewis ,75455,42,37750,37705,67712,405,1073,664,117,5484
Chelan,24378,48674,57856,chelan,,Grays Harbor ,72797,42,37357,35440,61825,803,3325,1032,182,5630
Skamania,24140,48704,61540,skamania,,Chelan ,72453,39,36130,36323,57484,236,700,588,100,13345
Asotin,23731,41665,52250,asotin,,Clallam ,71404,49,35429,35975,62092,596,3630,1007,94,3985
Kittitas,23467,41232,61276,kittitas,,Mason ,60699,44,31400,29299,52281,659,2239,731,227,4562
Pacific,23326,39642,51450,pacific,,Walla Walla ,58781,37,29835,28946,49654,1079,603,758,167,6520
Wahkiakum,23115,40372,47266,wahkiakum,,Whitman ,44776,24,22806,21970,37866,748,308,3472,103,2279
Walla Walla,23027,45575,55773,walla walla,,Stevens ,43531,45,21782,21749,38923,145,2413,237,68,1745
Cowlitz,22948,45877,55002,cowlitz,,Okanogan ,41120,43,20750,20370,30399,159,4675,237,31,5619
Garfield,22825,42269,55769,garfield,,Kittitas ,40915,32,20793,20122,36544,364,394,810,57,2746
Pend Oreille,22546,38896,46971,pend oreille,,Douglas ,38431,37,19198,19233,30573,128,405,283,52,6990
Mason,22530,48104,56809,mason,,Jefferson ,29872,54,14798,15074,27198,246,681,464,63,1220
Douglas,22359,48708,55766,douglas,,Asotin ,21623,44,10453,11170,20392,92,302,117,36,684
Stevens,21773,42845,51544,stevens,,Pacific ,20920,51,10488,10432,18286,79,483,427,15,1630
Lewis,21695,43874,53358,lewis,,Klickitat ,20318,45,10268,10050,17824,50,481,127,19,1817
Grays Harbor,21656,41899,49745,grays harbor,,Adams ,18728,29,9544,9184,11703,109,356,125,4,6431
Klickitat,21553,37398,46012,klickitat,,San Juan ,15769,53,7665,8104,14597,54,111,181,15,811
Okanogan,20093,38551,48418,okanogan,,Pend Oreille ,13001,48,6593,6408,11907,52,488,73,16,465
Grant,19718,42572,50065,grant,,Skamania ,11066,44,5565,5501,10265,46,173,96,11,475
Whitman,19506,36368,61598,whitman,,Lincoln ,10570,48,5277,5293,10038,28,173,41,5,285
Yakima,19325,42877,48004,yakima,,Ferry ,7551,47,3905,3646,5758,26,1259,52,8,448
Franklin,18660,47749,52218,franklin,,Columbia ,4078,48,2022,2056,3791,12,58,23,14,180
Ferry,18021,35485,43576,ferry,,Wahkiakum ,3978,52,1999,1979,3738,10,52,23,6,149
Adams,16689,40829,43551,adams,,Garfield ,2266,49,1118,1148,2125,0,6,39,0,96
