Area Name,Age Group,Total,Male,Female,,,,,,,,,,,,,,,,,,
Washington,0-4,"439,657","225,088","214,569",,,,,,,,,,,,,,,,,,
Washington,5-9,"429,877","219,702","210,175",,,,,,,,,,,,,,,,,,
Washington,10-14,"438,233","224,717","213,516",,,,,,,,,,,,,,,,,,
Washington,15-19,"462,128","237,577","224,551",,,,,,,,,,,,,,,,,,
Washington,20-24,"461,512","238,131","223,381",,,,,,,,,,,,,,,,,,
Washington,25-29,"480,398","245,014","235,384",,,,,,,,,,,,,,,,,,
Washington,30-34,"453,383","229,863","223,520",,,,,,,,,,,,,,,,,,
Washington,35-39,"448,607","226,850","221,757",,,,,,,,,,,,,,,,,,
Washington,40-44,"459,698","232,587","227,111",,,,,,,,,,,,,,,,,,
Washington,45-49,"492,909","246,507","246,402",,,,,,,,,,,,,,,,,,
Washington,50-54,"495,296","245,997","249,299",,,,,,,,,,,,,,,,,,
Washington,55-59,"453,078","221,321","231,757",,,,,,,,,,,,,,,,,,
Washington,60-64,"382,087","186,378","195,709",,,,,,,,,,,,,,,,,,
Washington,65-69,"270,474","131,064","139,410",,,,,,,,,,,,,,,,,,
Washington,70-74,"186,746","88,760","97,986",,,,,,,,,,,,,,,,,,
Washington,75-79,"142,068","64,325","77,743",,,,,,,,,,,,,,,,,,
Washington,80-84,"111,118","45,743","65,375",,,,,,,,,,,,,,,,,,
Washington,85+,"117,271","40,083","77,188",,,,,,,,,,,,,,,,,,
Washington,Total,"6,724,540","3,349,707","3,374,833",,,,,,,,,,,,,,,,,,
Adams,0-4,"2,015","1,071",944,,,,,,,,,,,,,,,,,,
Adams,5-9,"1,811",924,887,,,,,,,,,,,,,,,,,,
Adams,10-14,"1,647",831,816,,,,,,,,,,,,,,,,,,
Adams,15-19,"1,649",907,742,,,,,,,,,,,,,,,,,,
Adams,20-24,"1,261",664,597,,,,,,,,,,,,,,,,,,
Adams,25-29,"1,242",612,630,,,,,,,,,,,,,,,,,,
Adams,30-34,"1,256",627,629,,,,,,,,,,,,,,,,,,
Adams,35-39,"1,144",587,557,,,,,,,,,,,,,,,,,,
Adams,40-44,"1,055",553,502,,,,,,,,,,,,,,,,,,
Adams,45-49,"1,037",520,517,,,,,,,,,,,,,,,,,,
Adams,50-54,"1,003",488,515,,,,,,,,,,,,,,,,,,
Adams,55-59,957,489,468,,,,,,,,,,,,,,,,,,
Adams,60-64,736,345,391,,,,,,,,,,,,,,,,,,
Adams,65-69,599,328,271,,,,,,,,,,,,,,,,,,
Adams,70-74,449,220,229,,,,,,,,,,,,,,,,,,
Adams,75-79,336,157,179,,,,,,,,,,,,,,,,,,
Adams,80-84,267,132,135,,,,,,,,,,,,,,,,,,
Adams,85+,264,89,175,,,,,,,,,,,,,,,,,,
Adams,Total,"18,728","9,544","9,184",,,,,,,,,,,,,,,,,,
Asotin,0-4,"1,261",627,634,,,,,,,,,,,,,,,,,,
Asotin,5-9,"1,335",660,675,,,,,,,,,,,,,,,,,,
Asotin,10-14,"1,273",666,607,,,,,,,,,,,,,,,,,,
Asotin,15-19,"1,395",713,682,,,,,,,,,,,,,,,,,,
Asotin,20-24,"1,188",580,608,,,,,,,,,,,,,,,,,,
Asotin,25-29,"1,245",571,674,,,,,,,,,,,,,,,,,,
Asotin,30-34,"1,168",585,583,,,,,,,,,,,,,,,,,,
Asotin,35-39,"1,096",536,560,,,,,,,,,,,,,,,,,,
Asotin,40-44,"1,214",576,638,,,,,,,,,,,,,,,,,,
Asotin,45-49,"1,536",744,792,,,,,,,,,,,,,,,,,,
Asotin,50-54,"1,650",775,875,,,,,,,,,,,,,,,,,,
Asotin,55-59,"1,613",794,819,,,,,,,,,,,,,,,,,,
Asotin,60-64,"1,477",708,769,,,,,,,,,,,,,,,,,,
Asotin,65-69,"1,267",614,653,,,,,,,,,,,,,,,,,,
Asotin,70-74,"1,043",524,519,,,,,,,,,,,,,,,,,,
Asotin,75-79,776,360,416,,,,,,,,,,,,,,,,,,
Asotin,80-84,570,238,332,,,,,,,,,,,,,,,,,,
Asotin,85+,516,182,334,,,,,,,,,,,,,,,,,,
Asotin,Total,"21,623","10,453","11,170",,,,,,,,,,,,,,,,,,
Benton,0-4,"13,071","6,706","6,365",,,,,,,,,,,,,,,,,,
Benton,5-9,"13,081","6,743","6,338",,,,,,,,,,,,,,,,,,
Benton,10-14,"13,350","6,880","6,470",,,,,,,,,,,,,,,,,,
Benton,15-19,"12,914","6,642","6,272",,,,,,,,,,,,,,,,,,
Benton,20-24,"10,955","5,533","5,422",,,,,,,,,,,,,,,,,,
Benton,25-29,"11,972","6,097","5,875",,,,,,,,,,,,,,,,,,
Benton,30-34,"11,066","5,570","5,496",,,,,,,,,,,,,,,,,,
Benton,35-39,"10,672","5,362","5,310",,,,,,,,,,,,,,,,,,
Benton,40-44,"11,062","5,455","5,607",,,,,,,,,,,,,,,,,,
Benton,45-49,"12,443","6,119","6,324",,,,,,,,,,,,,,,,,,
Benton,50-54,"12,624","6,323","6,301",,,,,,,,,,,,,,,,,,
Benton,55-59,"11,759","5,913","5,846",,,,,,,,,,,,,,,,,,
Benton,60-64,"9,622","4,858","4,764",,,,,,,,,,,,,,,,,,
Benton,65-69,"6,787","3,332","3,455",,,,,,,,,,,,,,,,,,
Benton,70-74,"4,728","2,281","2,447",,,,,,,,,,,,,,,,,,
Benton,75-79,"3,546","1,576","1,970",,,,,,,,,,,,,,,,,,
Benton,80-84,"2,747","1,156","1,591",,,,,,,,,,,,,,,,,,
Benton,85+,"2,778",940,"1,838",,,,,,,,,,,,,,,,,,
Benton,Total,"175,177","87,486","87,691",,,,,,,,,,,,,,,,,,
Chelan,0-4,"4,915","2,577","2,338",,,,,,,,,,,,,,,,,,
Chelan,5-9,"4,864","2,517","2,347",,,,,,,,,,,,,,,,,,
Chelan,10-14,"5,072","2,554","2,518",,,,,,,,,,,,,,,,,,
Chelan,15-19,"5,202","2,668","2,534",,,,,,,,,,,,,,,,,,
Chelan,20-24,"4,260","2,239","2,021",,,,,,,,,,,,,,,,,,
Chelan,25-29,"4,309","2,229","2,080",,,,,,,,,,,,,,,,,,
Chelan,30-34,"4,098","2,058","2,040",,,,,,,,,,,,,,,,,,
Chelan,35-39,"4,082","2,004","2,078",,,,,,,,,,,,,,,,,,
Chelan,40-44,"4,291","2,151","2,140",,,,,,,,,,,,,,,,,,
Chelan,45-49,"5,034","2,487","2,547",,,,,,,,,,,,,,,,,,
Chelan,50-54,"5,523","2,699","2,824",,,,,,,,,,,,,,,,,,
Chelan,55-59,"5,214","2,627","2,587",,,,,,,,,,,,,,,,,,
Chelan,60-64,"4,414","2,205","2,209",,,,,,,,,,,,,,,,,,
Chelan,65-69,"3,237","1,588","1,649",,,,,,,,,,,,,,,,,,
Chelan,70-74,"2,582","1,272","1,310",,,,,,,,,,,,,,,,,,
Chelan,75-79,"1,961",927,"1,034",,,,,,,,,,,,,,,,,,
Chelan,80-84,"1,562",658,904,,,,,,,,,,,,,,,,,,
Chelan,85+,"1,833",670,"1,163",,,,,,,,,,,,,,,,,,
Chelan,Total,"72,453","36,130","36,323",,,,,,,,,,,,,,,,,,
Clallam,0-4,"3,363","1,792","1,571",,,,,,,,,,,,,,,,,,
Clallam,5-9,"3,398","1,734","1,664",,,,,,,,,,,,,,,,,,
Clallam,10-14,"3,822","1,935","1,887",,,,,,,,,,,,,,,,,,
Clallam,15-19,"3,994","2,160","1,834",,,,,,,,,,,,,,,,,,
Clallam,20-24,"3,598","2,004","1,594",,,,,,,,,,,,,,,,,,
Clallam,25-29,"3,591","1,917","1,674",,,,,,,,,,,,,,,,,,
Clallam,30-34,"3,460","1,848","1,612",,,,,,,,,,,,,,,,,,
Clallam,35-39,"3,365","1,736","1,629",,,,,,,,,,,,,,,,,,
Clallam,40-44,"3,579","1,799","1,780",,,,,,,,,,,,,,,,,,
Clallam,45-49,"4,497","2,165","2,332",,,,,,,,,,,,,,,,,,
Clallam,50-54,"5,480","2,647","2,833",,,,,,,,,,,,,,,,,,
Clallam,55-59,"6,093","2,854","3,239",,,,,,,,,,,,,,,,,,
Clallam,60-64,"5,975","2,824","3,151",,,,,,,,,,,,,,,,,,
Clallam,65-69,"5,255","2,509","2,746",,,,,,,,,,,,,,,,,,
Clallam,70-74,"3,961","2,001","1,960",,,,,,,,,,,,,,,,,,
Clallam,75-79,"3,021","1,430","1,591",,,,,,,,,,,,,,,,,,
Clallam,80-84,"2,439","1,121","1,318",,,,,,,,,,,,,,,,,,
Clallam,85+,"2,513",953,"1,560",,,,,,,,,,,,,,,,,,
Clallam,Total,"71,404","35,429","35,975",,,,,,,,,,,,,,,,,,
